Number_Inserted,Time_Taken
100718, 0.000000
100719, 0.001000
100720, 0.001000
100721, 0.001000
100722, 0.000000
100723, 0.000000
100724, 0.000000
100725, 0.001000
100726, 0.000000
100727, 0.000000
100728, 0.000000
100729, 0.001000
100730, 0.000000
100731, 0.000000
100732, 0.000000
100733, 0.001000
100734, 0.000000
100735, 0.000000
100736, 0.001000
100737, 0.000000
100738, 0.000000
100739, 0.000000
100740, 0.001000
100741, 0.000000
100742, 0.000000
100743, 0.000000
100744, 0.001000
100745, 0.000000
100746, 0.000000
100747, 0.001000
100748, 0.000000
100749, 0.000000
100750, 0.000000
100751, 0.001000
100752, 0.000000
100753, 0.000000
100754, 0.000000
100755, 0.001000
100756, 0.000000
100757, 0.000000
100758, 0.000000
100759, 0.001000
100760, 0.000000
100761, 0.000000
100762, 0.000000
100763, 0.001000
100764, 0.000000
100765, 0.000000
100766, 0.001000
100767, 0.000000
100768, 0.000000
100769, 0.000000
100770, 0.001000
100771, 0.000000
100772, 0.000000
100773, 0.001000
100774, 0.000000
100775, 0.001000
100776, 0.001000
100777, 0.000000
100778, 0.000000
100779, 0.001000
100780, 0.000000
100781, 0.000000
100782, 0.000000
100783, 0.001000
100784, 0.000000
100785, 0.000000
100786, 0.001000
100787, 0.000000
100788, 0.000000
100789, 0.000000
100790, 0.001000
100791, 0.000000
100792, 0.000000
100793, 0.000000
100794, 0.001000
100795, 0.000000
100796, 0.000000
100797, 0.001000
100798, 0.000000
100799, 0.000000
100800, 0.000000
100801, 0.001000
100802, 0.000000
100803, 0.000000
100804, 0.000000
100805, 0.001000
100806, 0.000000
100807, 0.000000
100808, 0.000000
100809, 0.001000
100810, 0.000000
100811, 0.000000
100812, 0.001000
100813, 0.000000
100814, 0.000000
100815, 0.000000
100816, 0.001000
100817, 0.000000
100818, 0.000000
100819, 0.000000
100820, 0.001000
100821, 0.000000
100822, 0.000000
100823, 0.001000
100824, 0.000000
100825, 0.000000
100826, 0.000000
100827, 0.001000
100828, 0.000000
100829, 0.000000
100830, 0.000000
100831, 0.001000
100832, 0.001000
100833, 0.001000
100834, 0.000000
100835, 0.000000
100836, 0.000000
100837, 0.001000
100838, 0.000000
100839, 0.000000
100840, 0.000000
100841, 0.001000
100842, 0.000000
100843, 0.000000
100844, 0.001000
100845, 0.000000
100846, 0.000000
100847, 0.000000
100848, 0.001000
100849, 0.000000
100850, 0.000000
100851, 0.001000
100852, 0.000000
100853, 0.000000
100854, 0.000000
100855, 0.001000
100856, 0.000000
100857, 0.000000
100858, 0.000000
100859, 0.001000
100860, 0.000000
